year,state,county,FIPS,candidate,party,candidatevotes,totalvotes,relative_votes
2016,Alabama,Autauga,1001,Hillary Clinton,democrat,5936.0,24973,24.622531939605107
2016,Alabama,Autauga,1001,Donald Trump,republican,18172.0,24973,75.37746806039489
2016,Alabama,Baldwin,1003,Hillary Clinton,democrat,18458.0,95215,20.20779277651876
2016,Alabama,Baldwin,1003,Donald Trump,republican,72883.0,95215,79.79220722348124
2016,Alabama,Barbour,1005,Hillary Clinton,democrat,4871.0,10469,47.17675544794189
2016,Alabama,Barbour,1005,Donald Trump,republican,5454.0,10469,52.82324455205811
2016,Alabama,Bibb,1007,Hillary Clinton,democrat,1874.0,8819,21.760334417092427
2016,Alabama,Bibb,1007,Donald Trump,republican,6738.0,8819,78.23966558290758
2016,Alabama,Blount,1009,Hillary Clinton,democrat,2156.0,25588,8.618828702778332
2016,Alabama,Blount,1009,Donald Trump,republican,22859.0,25588,91.38117129722168
2016,Alabama,Bullock,1011,Hillary Clinton,democrat,3530.0,4710,75.58886509635973
2016,Alabama,Bullock,1011,Donald Trump,republican,1140.0,4710,24.411134903640257
2016,Alabama,Butler,1013,Hillary Clinton,democrat,3726.0,8732,43.189984931030494
2016,Alabama,Butler,1013,Donald Trump,republican,4901.0,8732,56.810015068969506
2016,Alabama,Calhoun,1015,Hillary Clinton,democrat,13242.0,47864,28.72015095321752
2016,Alabama,Calhoun,1015,Donald Trump,republican,32865.0,47864,71.27984904678249
2016,Alabama,Chambers,1017,Hillary Clinton,democrat,5784.0,13900,42.44514566669113
2016,Alabama,Chambers,1017,Donald Trump,republican,7843.0,13900,57.55485433330889
2016,Alabama,Cherokee,1019,Hillary Clinton,democrat,1547.0,10733,14.733333333333333
2016,Alabama,Cherokee,1019,Donald Trump,republican,8953.0,10733,85.26666666666667
2016,Alabama,Chilton,1021,Hillary Clinton,democrat,2911.0,18369,16.179413072476653
2016,Alabama,Chilton,1021,Donald Trump,republican,15081.0,18369,83.82058692752335
2016,Alabama,Choctaw,1023,Hillary Clinton,democrat,3109.0,7292,43.09078309078309
2016,Alabama,Choctaw,1023,Donald Trump,republican,4106.0,7292,56.90921690921691
2016,Alabama,Clarke,1025,Hillary Clinton,democrat,5749.0,13031,44.60392582822561
2016,Alabama,Clarke,1025,Donald Trump,republican,7140.0,13031,55.39607417177439
2016,Alabama,Clay,1027,Hillary Clinton,democrat,1237.0,6624,19.083616167849428
2016,Alabama,Clay,1027,Donald Trump,republican,5245.0,6624,80.91638383215056
2016,Alabama,Cleburne,1029,Hillary Clinton,democrat,684.0,6593,10.607940446650124
2016,Alabama,Cleburne,1029,Donald Trump,republican,5764.0,6593,89.39205955334988
2016,Alabama,Coffee,1031,Hillary Clinton,democrat,4221.0,20767,21.004179936305725
2016,Alabama,Coffee,1031,Donald Trump,republican,15875.0,20767,78.99582006369427
2016,Alabama,Colbert,1033,Hillary Clinton,democrat,7312.0,24915,30.39321639371519
2016,Alabama,Colbert,1033,Donald Trump,republican,16746.0,24915,69.60678360628481
2016,Alabama,Conecuh,1035,Hillary Clinton,democrat,3080.0,6585,47.384615384615394
2016,Alabama,Conecuh,1035,Donald Trump,republican,3420.0,6585,52.615384615384606
2016,Alabama,Coosa,1037,Hillary Clinton,democrat,1782.0,5252,34.51481696687972
2016,Alabama,Coosa,1037,Donald Trump,republican,3381.0,5252,65.48518303312028
2016,Alabama,Covington,1039,Hillary Clinton,democrat,2387.0,15940,15.248498786252716
2016,Alabama,Covington,1039,Donald Trump,republican,13267.0,15940,84.7515012137473
2016,Alabama,Crenshaw,1041,Hillary Clinton,democrat,1664.0,6267,26.93864335437915
2016,Alabama,Crenshaw,1041,Donald Trump,republican,4513.0,6267,73.06135664562085
2016,Alabama,Cullman,1043,Hillary Clinton,democrat,3798.0,37873,10.324299344877266
2016,Alabama,Cullman,1043,Donald Trump,republican,32989.0,37873,89.67570065512274
2016,Alabama,Dale,1045,Hillary Clinton,democrat,4413.0,18749,24.219307392569014
2016,Alabama,Dale,1045,Donald Trump,republican,13808.0,18749,75.78069260743098
2016,Alabama,Dallas,1047,Hillary Clinton,democrat,12836.0,18792,68.91812080536913
2016,Alabama,Dallas,1047,Donald Trump,republican,5789.0,18792,31.081879194630872
2016,Alabama,DeKalb,1049,Hillary Clinton,democrat,3622.0,25826,14.472369840572181
2016,Alabama,DeKalb,1049,Donald Trump,republican,21405.0,25826,85.52763015942782
2016,Alabama,Elmore,1051,Hillary Clinton,democrat,8443.0,37260,23.40272195581673
2016,Alabama,Elmore,1051,Donald Trump,republican,27634.0,37260,76.59727804418327
2016,Alabama,Escambia,1053,Hillary Clinton,democrat,4605.0,14845,31.67125171939477
2016,Alabama,Escambia,1053,Donald Trump,republican,9935.0,14845,68.32874828060523
2016,Alabama,Etowah,1055,Hillary Clinton,democrat,10442.0,44164,24.40004673443159
2016,Alabama,Etowah,1055,Donald Trump,republican,32353.0,44164,75.5999532655684
2016,Alabama,Fayette,1057,Hillary Clinton,democrat,1362.0,8249,16.86896210056973
2016,Alabama,Fayette,1057,Donald Trump,republican,6712.0,8249,83.13103789943027
2016,Alabama,Franklin,1059,Hillary Clinton,democrat,2197.0,12040,18.83734888107691
2016,Alabama,Franklin,1059,Donald Trump,republican,9466.0,12040,81.1626511189231
2016,Alabama,Geneva,1061,Hillary Clinton,democrat,1525.0,11758,13.238996440663252
2016,Alabama,Geneva,1061,Donald Trump,republican,9994.0,11758,86.76100355933674
2016,Alabama,Greene,1063,Hillary Clinton,democrat,4013.0,4880,82.72521129663987
2016,Alabama,Greene,1063,Donald Trump,republican,838.0,4880,17.27478870336013
2016,Alabama,Hale,1065,Hillary Clinton,democrat,4775.0,8040,60.07800704579768
2016,Alabama,Hale,1065,Donald Trump,republican,3173.0,8040,39.92199295420232
2016,Alabama,Henry,1067,Hillary Clinton,democrat,2292.0,8072,28.924785461887932
2016,Alabama,Henry,1067,Donald Trump,republican,5632.0,8072,71.07521453811206
2016,Alabama,Houston,1069,Hillary Clinton,democrat,10664.0,42639,25.763432547352142
2016,Alabama,Houston,1069,Donald Trump,republican,30728.0,42639,74.23656745264786
2016,Alabama,Jackson,1071,Hillary Clinton,democrat,3673.0,20984,18.05357581715409
2016,Alabama,Jackson,1071,Donald Trump,republican,16672.0,20984,81.9464241828459
2016,Alabama,Jefferson,1073,Hillary Clinton,democrat,156873.0,304191,53.789762070490774
2016,Alabama,Jefferson,1073,Donald Trump,republican,134768.0,304191,46.21023792950922
2016,Alabama,Lamar,1075,Hillary Clinton,democrat,1036.0,6966,15.104242600962241
2016,Alabama,Lamar,1075,Donald Trump,republican,5823.0,6966,84.89575739903776
2016,Alabama,Lauderdale,1077,Hillary Clinton,democrat,9952.0,39525,26.29256822805209
2016,Alabama,Lauderdale,1077,Donald Trump,republican,27899.0,39525,73.70743177194791
2016,Alabama,Lawrence,1079,Hillary Clinton,democrat,3627.0,14829,25.08298755186722
2016,Alabama,Lawrence,1079,Donald Trump,republican,10833.0,14829,74.91701244813278
2016,Alabama,Lee,1081,Hillary Clinton,democrat,21230.0,59191,38.01457553673429
2016,Alabama,Lee,1081,Donald Trump,republican,34617.0,59191,61.985424463265716
2016,Alabama,Limestone,1083,Hillary Clinton,democrat,9468.0,40294,24.569871545348388
2016,Alabama,Limestone,1083,Donald Trump,republican,29067.0,40294,75.43012845465161
2016,Alabama,Lowndes,1085,Hillary Clinton,democrat,4883.0,6684,73.60566777208321
2016,Alabama,Lowndes,1085,Donald Trump,republican,1751.0,6684,26.394332227916788
2016,Alabama,Macon,1087,Hillary Clinton,democrat,7566.0,9140,84.09469823274425
2016,Alabama,Macon,1087,Donald Trump,republican,1431.0,9140,15.905301767255752
2016,Alabama,Madison,1089,Hillary Clinton,democrat,62822.0,163389,41.237478830526044
2016,Alabama,Madison,1089,Donald Trump,republican,89520.0,163389,58.762521169473956
2016,Alabama,Marengo,1091,Hillary Clinton,democrat,5615.0,10994,51.760693215339224
2016,Alabama,Marengo,1091,Donald Trump,republican,5233.0,10994,48.239306784660776
2016,Alabama,Marion,1093,Hillary Clinton,democrat,1432.0,12984,11.270266016055407
2016,Alabama,Marion,1093,Donald Trump,republican,11274.0,12984,88.72973398394458
2016,Alabama,Marshall,1095,Hillary Clinton,democrat,4917.0,35316,14.398243045387995
2016,Alabama,Marshall,1095,Donald Trump,republican,29233.0,35316,85.601756954612
2016,Alabama,Mobile,1097,Hillary Clinton,democrat,72186.0,172737,43.147123166489344
2016,Alabama,Mobile,1097,Donald Trump,republican,95116.0,172737,56.852876833510656
2016,Alabama,Monroe,1099,Hillary Clinton,democrat,4332.0,10271,42.77673545966229
2016,Alabama,Monroe,1099,Donald Trump,republican,5795.0,10271,57.223264540337716
2016,Alabama,Montgomery,1101,Hillary Clinton,democrat,58916.0,95878,63.405762007770214
2016,Alabama,Montgomery,1101,Donald Trump,republican,34003.0,95878,36.59423799222979
2016,Alabama,Morgan,1103,Hillary Clinton,democrat,11254.0,50644,23.089864587607714
2016,Alabama,Morgan,1103,Donald Trump,republican,37486.0,50644,76.91013541239228
2016,Alabama,Perry,1105,Hillary Clinton,democrat,3824.0,5278,73.1026572357102
2016,Alabama,Perry,1105,Donald Trump,republican,1407.0,5278,26.897342764289807
2016,Alabama,Pickens,1107,Hillary Clinton,democrat,3972.0,9542,42.12982605006364
2016,Alabama,Pickens,1107,Donald Trump,republican,5456.0,9542,57.87017394993636
2016,Alabama,Pike,1109,Hillary Clinton,democrat,5056.0,13168,39.658012393128864
2016,Alabama,Pike,1109,Donald Trump,republican,7693.0,13168,60.34198760687113
2016,Alabama,Randolph,1111,Hillary Clinton,democrat,2291.0,10187,22.919167667066827
2016,Alabama,Randolph,1111,Donald Trump,republican,7705.0,10187,77.08083233293317
2016,Alabama,Russell,1113,Hillary Clinton,democrat,9579.0,19256,50.98195752834105
2016,Alabama,Russell,1113,Donald Trump,republican,9210.0,19256,49.01804247165895
2016,Alabama,St. Clair,1115,Hillary Clinton,democrat,5589.0,38400,15.008055853920515
2016,Alabama,St. Clair,1115,Donald Trump,republican,31651.0,38400,84.99194414607949
2016,Alabama,Shelby,1117,Hillary Clinton,democrat,22977.0,101254,23.935122972592893
2016,Alabama,Shelby,1117,Donald Trump,republican,73020.0,101254,76.06487702740709
2016,Alabama,Sumter,1119,Hillary Clinton,democrat,4746.0,6411,75.01185395922238
2016,Alabama,Sumter,1119,Donald Trump,republican,1581.0,6411,24.98814604077761
2016,Alabama,Talladega,1121,Hillary Clinton,democrat,12121.0,33407,37.027646250190934
2016,Alabama,Talladega,1121,Donald Trump,republican,20614.0,33407,62.97235374980907
2016,Alabama,Tallapoosa,1123,Hillary Clinton,democrat,5519.0,19486,28.87563438497358
2016,Alabama,Tallapoosa,1123,Donald Trump,republican,13594.0,19486,71.12436561502642
2016,Alabama,Tuscaloosa,1125,Hillary Clinton,democrat,31762.0,82700,39.95974083160345
2016,Alabama,Tuscaloosa,1125,Donald Trump,republican,47723.0,82700,60.04025916839655
2016,Alabama,Walker,1127,Hillary Clinton,democrat,4497.0,29472,15.634669540729409
2016,Alabama,Walker,1127,Donald Trump,republican,24266.0,29472,84.3653304592706
2016,Alabama,Washington,1129,Hillary Clinton,democrat,2374.0,8533,28.208174904942965
2016,Alabama,Washington,1129,Donald Trump,republican,6042.0,8533,71.79182509505705
2016,Alabama,Wilcox,1131,Hillary Clinton,democrat,4339.0,6118,71.41211323238974
2016,Alabama,Wilcox,1131,Donald Trump,republican,1737.0,6118,28.587886767610268
2016,Alabama,Winston,1133,Hillary Clinton,democrat,872.0,10313,8.633663366336634
2016,Alabama,Winston,1133,Donald Trump,republican,9228.0,10313,91.36633663366337
2016,Arizona,Apache,4001,Hillary Clinton,democrat,17083.0,27661,67.46041148363146
2016,Arizona,Apache,4001,Donald Trump,republican,8240.0,27661,32.53958851636852
2016,Arizona,Cochise,4003,Hillary Clinton,democrat,17450.0,50015,38.31627947828378
2016,Arizona,Cochise,4003,Donald Trump,republican,28092.0,50015,61.683720521716225
2016,Arizona,Coconino,4005,Hillary Clinton,democrat,32404.0,59784,60.55464194946928
2016,Arizona,Coconino,4005,Donald Trump,republican,21108.0,59784,39.44535805053072
2016,Arizona,Gila,4007,Hillary Clinton,democrat,7003.0,36697,33.05640783573283
2016,Arizona,Gila,4007,Donald Trump,republican,14182.0,36697,66.94359216426717
2016,Arizona,Graham,4009,Hillary Clinton,democrat,3301.0,20306,29.145329330743426
2016,Arizona,Graham,4009,Donald Trump,republican,8025.0,20306,70.85467066925658
2016,Arizona,Greenlee,4011,Hillary Clinton,democrat,1092.0,5192,36.595174262734595
2016,Arizona,Greenlee,4011,Donald Trump,republican,1892.0,5192,63.404825737265405
2016,Arizona,La Paz,4012,Hillary Clinton,democrat,1575.0,5951,28.235926855503763
2016,Arizona,La Paz,4012,Donald Trump,republican,4003.0,5951,71.76407314449624
2016,Arizona,Maricopa,4013,Hillary Clinton,democrat,702907.0,1567834,48.46738671748946
2016,Arizona,Maricopa,4013,Donald Trump,republican,747361.0,1567834,51.532613282510546
2016,Arizona,Mohave,4015,Hillary Clinton,democrat,17455.0,79943,23.04685952704755
2016,Arizona,Mohave,4015,Donald Trump,republican,58282.0,79943,76.95314047295246
2016,Arizona,Navajo,4017,Hillary Clinton,democrat,16459.0,40294,44.44054433524138
2016,Arizona,Navajo,4017,Donald Trump,republican,20577.0,40294,55.559455664758616
2016,Arizona,Pima,4019,Hillary Clinton,democrat,224661.0,421640,57.29847050032008
2016,Arizona,Pima,4019,Donald Trump,republican,167428.0,421640,42.70152949967992
2016,Arizona,Pinal,4021,Hillary Clinton,democrat,47892.0,129546,39.67492606307627
2016,Arizona,Pinal,4021,Donald Trump,republican,72819.0,129546,60.32507393692372
2016,Arizona,Santa Cruz,4023,Hillary Clinton,democrat,11690.0,16433,74.99839609931351
2016,Arizona,Santa Cruz,4023,Donald Trump,republican,3897.0,16433,25.00160390068647
2016,Arizona,Yavapai,4025,Hillary Clinton,democrat,35590.0,114450,33.28656939768051
2016,Arizona,Yavapai,4025,Donald Trump,republican,71330.0,114450,66.71343060231949
2016,Arizona,Yuma,4027,Hillary Clinton,democrat,24605.0,53010,49.437412095639935
2016,Arizona,Yuma,4027,Donald Trump,republican,25165.0,53010,50.562587904360065
2016,Arkansas,Arkansas,5001,Hillary Clinton,democrat,1939.0,6212,33.633998265394624
2016,Arkansas,Arkansas,5001,Donald Trump,republican,3826.0,6212,66.36600173460538
2016,Arkansas,Ashley,5003,Hillary Clinton,democrat,2408.0,8083,31.087012651691197
2016,Arkansas,Ashley,5003,Donald Trump,republican,5338.0,8083,68.91298734830879
2016,Arkansas,Baxter,5005,Hillary Clinton,democrat,4169.0,19766,22.115537637260623
2016,Arkansas,Baxter,5005,Donald Trump,republican,14682.0,19766,77.88446236273937
2016,Arkansas,Benton,5007,Hillary Clinton,democrat,28005.0,96824,31.510193978126825
2016,Arkansas,Benton,5007,Donald Trump,republican,60871.0,96824,68.48980602187318
2016,Arkansas,Boone,5009,Hillary Clinton,democrat,2926.0,16111,19.299518501418113
2016,Arkansas,Boone,5009,Donald Trump,republican,12235.0,16111,80.70048149858191
2016,Arkansas,Bradley,5011,Hillary Clinton,democrat,1317.0,3653,37.833955759839135
2016,Arkansas,Bradley,5011,Donald Trump,republican,2164.0,3653,62.166044240160865
