state,county,FIPS,total_population,citizen_voting_age_population,white_pct,black_pct,hispanic_pct,foreign_born_pct,female_pct,age_29_and_under_pct,age_65_and_older_pct,median_household_income,unemployed_pct_in_civilian_labor_force,less_than_highschool_pct,less_than_college_pct,rural population_pct
Alabama,Autauga,1001,,,,,,,,,,,,,,
Alabama,Baldwin,1003,,,,,,,,,,,,,,
Alabama,Barbour,1005,,,,,,,,,,,,,,
Alabama,Bibb,1007,,,,,,,,,,,,,,
Alabama,Blount,1009,,,,,,,,,,,,,,
Alabama,Bullock,1011,,,,,,,,,,,,,,
Alabama,Butler,1013,,,,,,,,,,,,,,
Alabama,Calhoun,1015,,,,,,,,,,,,,,
Alabama,Chambers,1017,34018.0,26480.0,56.74348874125461,40.4785701687342,0.435063789758363,0.990652007760597,52.087130342759714,35.872185313657496,18.387324357693,36027.0,7.489945275928,19.7367317850256,87.51572063385599,49.14803448779779
Alabama,Cherokee,1019,25897.0,20505.0,91.8716453643279,4.60671120206974,3.82328495620485,0.7259528130671509,50.252925049233504,32.7103525504885,20.3228173147469,38925.0,5.85573104276346,18.7172354766235,86.0383010591634,85.7362730385933
Alabama,Chilton,1021,,,,,,,,,,,,,,
Alabama,Choctaw,1023,,,,,,,,,,,,,,
Alabama,Clarke,1025,24847.0,19195.0,53.1774459693323,45.49442588642489,0.173059121825573,0.466857165855033,52.7588843723588,36.60401658147861,18.0625427617016,32735.0,17.0833333333333,18.95781929268011,87.86276583245208,75.980335230132
Alabama,Clay,1027,13483.0,10360.0,80.2640361937254,14.7444930653415,3.10761699918416,1.8912704887636296,51.5538084995921,34.843877475339305,19.4022101906104,38815.0,6.59153005464481,25.386406944738496,88.93711623967822,100.0
Alabama,Cleburne,1029,14991.0,11295.0,92.7956774064439,2.3614168501100696,2.328063504769529,1.74771529584417,50.4836235074378,36.1416850110066,18.1642318724568,36316.0,7.1736011477761785,25.815164962377,88.4719274551418,100.0
Alabama,Coffee,1031,,,,,,,,,,,,,,
Alabama,Colbert,1033,,,,,,,,,,,,,,
Alabama,Conecuh,1035,12697.0,9825.0,50.7206426714972,46.215641490115786,1.76419626683469,0.850594628652438,52.524218319287996,35.6540915176813,20.2646294400252,27609.0,20.4278523489933,20.572207084468698,91.3374205267938,80.9495010583611
Alabama,Coosa,1037,,,,,,,,,,,,,,
Alabama,Covington,1039,,,,,,,,,,,,,,
Alabama,Crenshaw,1041,,,,,,,,,,,,,,
Alabama,Cullman,1043,,,,,,,,,,,,,,
Alabama,Dale,1045,,,,,,,,,,,,,,
Alabama,Dallas,1047,,,,,,,,,,,,,,
Alabama,DeKalb,1049,70937.0,49580.0,81.0155490082749,1.47736724135501,14.015252970946099,7.27687948461311,50.4715451738867,39.0459139800104,15.532091856154098,38248.0,6.33996117024838,27.362984822934198,88.6340640809444,90.1306445035087
Alabama,Elmore,1051,,,,,,,,,,,,,,
Alabama,Escambia,1053,,,,,,,,,,,,,,
Alabama,Etowah,1055,,,,,,,,,,,,,,
Alabama,Fayette,1057,,,,,,,,,,,,,,
Alabama,Franklin,1059,31573.0,21935.0,78.0730370886517,4.06043138124347,16.016849840053197,8.884173185950019,50.739555949703906,39.460931808824,16.0358534190606,36138.0,9.71294324939432,24.3310397553517,87.60990061162079,70.3665152662125
Alabama,Geneva,1061,,,,,,,,,,,,,,
Alabama,Greene,1063,,,,,,,,,,,,,,
Alabama,Hale,1065,15159.0,11565.0,39.969654990434705,58.2822085889571,1.20720364140115,1.03568836994525,53.0246058447127,38.017019592321404,17.6594762187479,33351.0,12.059336823734698,18.60396910743961,85.97125818750608,89.1687817258883
Alabama,Henry,1067,,,,,,,,,,,,,,
Alabama,Houston,1069,,,,,,,,,,,,,,
Alabama,Jackson,1071,52608.0,40730.0,89.4920924574209,3.29417579075426,2.7277220194647205,2.25631082725061,51.028360705596114,34.84260948905111,18.4515663017032,38422.0,8.60941586748038,20.515100083515197,87.421536140521,77.0173032483514
Alabama,Jefferson,1073,,,,,,,,,,,,,,
Alabama,Lamar,1075,,,,,,,,,,,,,,
Alabama,Lauderdale,1077,,,,,,,,,,,,,,
Alabama,Lawrence,1079,33433.0,25995.0,76.657793198337,11.3660156133162,2.06682020757934,0.726826787904167,51.329524721084006,35.868752430233606,16.1517063978704,42339.0,8.315177923021059,22.4569940666752,89.69138173901909,91.28978712251379
Alabama,Lee,1081,,,,,,,,,,,,,,
Alabama,Limestone,1083,,,,,,,,,,,,,,
Alabama,Lowndes,1085,,,,,,,,,,,,,,
Alabama,Macon,1087,,,,,,,,,,,,,,
Alabama,Madison,1089,349973.0,261510.0,65.4310475379529,23.982992973743702,4.67521780251619,5.56071468370417,51.1148002845934,39.399896563449204,13.6679115246033,60150.0,7.333547230765832,9.18516829835649,59.3280730861946,16.441514765046502
Alabama,Marengo,1091,,,,,,,,,,,,,,
Alabama,Marion,1093,,,,,,,,,,,,,,
Alabama,Marshall,1095,94534.0,65925.0,82.3418029492035,2.09025324221973,12.9159878985339,7.1709649438297305,50.708739712696,39.3191867476252,16.4046797977447,39831.0,7.1737920689071215,21.3947542846321,83.43275573651479,53.26868704243221
Alabama,Mobile,1097,,,,,,,,,,,,,,
Alabama,Monroe,1099,21975.0,16820.0,54.6666666666667,42.41638225255971,0.6188850967007961,0.200227531285552,52.1183162684869,37.3014789533561,17.806598407281,28182.0,21.8331119430021,17.968172967165803,87.60491506076679,79.0445638980406
Alabama,Montgomery,1101,,,,,,,,,,,,,,
Alabama,Morgan,1103,,,,,,,,,,,,,,
Alabama,Perry,1105,9856.0,7625.0,29.626623376623396,68.5876623376623,0.953733766233766,0.375405844155844,52.607548701298704,41.5178571428571,18.8616071428571,24912.0,11.7301038062284,23.615552937216002,85.5074903214947,100.0
Alabama,Pickens,1107,20042.0,15585.0,54.854804909689705,41.7722782157469,2.4249076938429304,1.55673086518312,50.7184911685461,35.8547051192496,17.922363037621,31679.0,12.324929971988801,18.900880431695498,88.8809997159898,100.0
Alabama,Pike,1109,33277.0,25630.0,56.5615890855546,37.4162334345043,2.19370736544761,3.88556660756679,52.3244282837996,48.96174534964089,14.283138504071903,33193.0,9.73429039163833,20.042817820369,76.0118258741972,51.67938235204721
Alabama,Randolph,1111,22615.0,17375.0,75.4366570860049,19.1863807207606,2.92283882378952,1.5962856511165202,51.2491709042671,35.7638735352642,19.3942073844793,37496.0,7.978723404255319,22.7386370921213,84.6208090262196,81.342469340549
Alabama,Russell,1113,,,,,,,,,,,,,,
Alabama,St. Clair,1115,,,,,,,,,,,,,,
Alabama,Shelby,1117,,,,,,,,,,,,,,
Alabama,Sumter,1119,,,,,,,,,,,,,,
Alabama,Talladega,1121,81057.0,62160.0,63.5194986244248,32.0502856014903,2.16144194825863,1.54089097795379,51.463784744069,37.0109922647026,16.1466622253476,37923.0,12.042078855090196,20.188237815441198,86.9090779204543,55.815338250841506
Alabama,Tallapoosa,1123,,,,,,,,,,,,,,
